source,country,country_name,salary_yearly,currency,years_experience,experience_level,languages_worked,developer_type,education_level,company_size,collected_at
stackoverflow,DE,Germany,614268.0,EUR,Less than 1 year,Junior,,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,2025-07-02T09:58:35.813547
stackoverflow,DE,Germany,,EUR,nan,Unknown,Ansible;Chef;Docker;Kubernetes;npm;Terraform,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Student;DevOps specialist;Cloud infrastructure engineer;System administrator","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,2025-07-02T09:58:35.813547
stackoverflow,DE,Germany,47990.0,EUR,7,Mid-level,Docker;Kubernetes,"Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist",Something else,500 to 999 employees,2025-07-02T09:58:35.814544
stackoverflow,DE,Germany,,EUR,15,Junior,Docker;Kubernetes;npm;Terraform,"Data scientist or machine learning specialist;Developer, full-stack","Other doctoral degree (Ph.D., Ed.D., etc.)",2 to 9 employees,2025-07-02T09:58:35.814544
stackoverflow,DE,Germany,170630.0,EUR,14,Junior,Docker;npm;Terraform;Yarn,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,2025-07-02T09:58:35.814544
stackoverflow,DE,Germany,90647.0,EUR,10,Junior,Docker;Kubernetes;npm;Terraform,"Developer, full-stack;Engineering manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,2025-07-02T09:58:35.815541
stackoverflow,DE,Germany,95979.0,EUR,10,Junior,Docker;Kubernetes;npm,"Data scientist or machine learning specialist;Developer, front-end;Developer, full-stack;Developer, back-end;Developer, QA or test;Developer, mobile;Database administrator;DevOps specialist;Cloud infrastructure engineer;Data or business analyst","Other doctoral degree (Ph.D., Ed.D., etc.)",500 to 999 employees,2025-07-02T09:58:35.815541
stackoverflow,DE,Germany,486300.0,EUR,5,Mid-level,npm,"Developer, full-stack",Some college/university study without earning a degree,2 to 9 employees,2025-07-02T09:58:35.815541
stackoverflow,DE,Germany,65268.0,EUR,5,Mid-level,Docker;Homebrew;npm;Unity 3D;Yarn,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,2025-07-02T09:58:35.815541
stackoverflow,DE,Germany,63984.0,EUR,3,Junior,Docker,"Developer, back-end","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",100 to 499 employees,2025-07-02T09:58:35.815541
stackoverflow,DE,Germany,,EUR,nan,Unknown,Docker;npm,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,2025-07-02T09:58:35.815541
stackoverflow,DE,Germany,69318.0,EUR,11,Junior,npm,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Database administrator;DevOps specialist;Project manager;Designer;Product manager;System administrator;Security professional","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,2025-07-02T09:58:35.815541
stackoverflow,DE,Germany,,EUR,15,Junior,Docker;Homebrew;Kubernetes;npm,"Developer, full-stack;Senior Executive (C-Suite, VP, etc.)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,2025-07-02T09:58:35.815541
stackoverflow,DE,Germany,110568.0,EUR,7,Mid-level,Docker;Homebrew;Kubernetes;npm,"Developer, back-end;Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,2025-07-02T09:58:35.816549
stackoverflow,DE,Germany,,EUR,nan,Unknown,Unity 3D,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,2025-07-02T09:58:35.816549
stackoverflow,DE,Germany,,EUR,nan,Unknown,npm;Yarn,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,2025-07-02T09:58:35.816549
stackoverflow,DE,Germany,,EUR,nan,Unknown,,Student;Cloud infrastructure engineer,Some college/university study without earning a degree,,2025-07-02T09:58:35.816549
stackoverflow,DE,Germany,95979.0,EUR,5,Mid-level,Docker;npm,"Developer, back-end;Developer, desktop or enterprise applications;Product manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",2025-07-02T09:58:35.816549
stackoverflow,DE,Germany,,EUR,nan,Unknown,npm;Yarn,Student,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,2025-07-02T09:58:35.816549
stackoverflow,DE,Germany,127968.0,EUR,18,Junior,Docker;Kubernetes;Puppet,"Engineer, site reliability;DevOps specialist;Cloud infrastructure engineer;System administrator","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Just me - I am a freelancer, sole proprietor, etc.",2025-07-02T09:58:35.817544
stackoverflow,DE,Germany,60040.0,EUR,4,Mid-level,Docker;npm,"Developer, back-end;Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",2025-07-02T09:58:35.817544
stackoverflow,DE,Germany,,EUR,nan,Unknown,Docker,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,2025-07-02T09:58:35.817544
