source,country,country_name,salary_yearly,currency,years_experience,experience_level,languages_worked,developer_type,education_level,company_size,collected_at
stackoverflow,FR,France,45857.0,EUR,9,Mid-level,Ansible;Homebrew;npm;Yarn,"Developer, mobile","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",2025-07-02T12:48:18.599343
stackoverflow,FR,France,69318.0,EUR,4,Mid-level,Docker;Yarn,"Developer, full-stack;Developer, back-end;Developer, mobile;Educator","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,2025-07-02T12:48:18.599382
stackoverflow,FR,France,,EUR,46,Mid-level,Ansible;Chef;Docker;Homebrew;Kubernetes;npm;Puppet;Unity 3D;Unreal Engine;Yarn,"Senior Executive (C-Suite, VP, etc.)","Other doctoral degree (Ph.D., Ed.D., etc.)",100 to 499 employees,2025-07-02T12:48:18.599580
stackoverflow,FR,France,43512.0,EUR,10,Junior,Docker;npm,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2 to 9 employees,2025-07-02T12:48:18.599696
stackoverflow,FR,France,,EUR,2,Junior,npm,"Developer, front-end;Developer, back-end;Developer, desktop or enterprise applications",Some college/university study without earning a degree,"Just me - I am a freelancer, sole proprietor, etc.",2025-07-02T12:48:18.599850
stackoverflow,FR,France,,EUR,22,Junior,Docker,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,2025-07-02T12:48:18.600125
stackoverflow,FR,France,35192.0,EUR,14,Junior,npm;Yarn,"Developer, back-end","Associate degree (A.A., A.S., etc.)",2 to 9 employees,2025-07-02T12:48:18.600396
stackoverflow,FR,France,44796.0,EUR,15,Junior,Unity 3D,"Developer, front-end;Engineer, data;Developer, full-stack;Developer, back-end;Developer, QA or test;Database administrator;Developer, game or graphics;Project manager;Designer","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Just me - I am a freelancer, sole proprietor, etc.",2025-07-02T12:48:18.600912
stackoverflow,FR,France,,EUR,5,Mid-level,Docker;npm;Yarn,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,2025-07-02T12:48:18.601029
stackoverflow,FR,France,,EUR,nan,Unknown,Unreal Engine,Student,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,2025-07-02T12:48:18.601265
stackoverflow,FR,France,51192.0,EUR,7,Mid-level,Docker,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,2025-07-02T12:48:18.601458
stackoverflow,FR,France,895812.0,EUR,10,Junior,npm;Yarn,"Developer, front-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,2025-07-02T12:48:18.601816
stackoverflow,FR,France,,EUR,nan,Unknown,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,2025-07-02T12:48:18.602531
stackoverflow,FR,France,51189.0,EUR,10,Junior,Ansible;Docker;Yarn,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,2025-07-02T12:48:18.602692
stackoverflow,FR,France,51192.0,EUR,36,Junior,,"Engineer, data;Academic researcher;Other (please specify):;Developer, embedded applications or devices;Scientist;System administrator","Other doctoral degree (Ph.D., Ed.D., etc.)","10,000 or more employees",2025-07-02T12:48:18.602848
stackoverflow,FR,France,,EUR,15,Junior,,"Developer, back-end;Developer, mobile;Other (please specify):;Developer, embedded applications or devices","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,2025-07-02T12:48:18.602886
stackoverflow,FR,France,85132.0,EUR,12,Junior,,"Developer, front-end;Developer, full-stack;Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",2025-07-02T12:48:18.603271
stackoverflow,FR,France,,EUR,nan,Unknown,npm;Unity 3D,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,2025-07-02T12:48:18.603348
stackoverflow,FR,France,,EUR,nan,Unknown,Docker,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,2025-07-02T12:48:18.603465
stackoverflow,FR,France,,EUR,nan,Unknown,,,Some college/university study without earning a degree,,2025-07-02T12:48:18.603695
stackoverflow,FR,France,,EUR,nan,Unknown,Homebrew;npm;Unity 3D;Yarn,"Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,2025-07-02T12:48:18.603895
stackoverflow,FR,France,,EUR,nan,Unknown,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,2025-07-02T12:48:18.604052
stackoverflow,FR,France,63986.0,EUR,16,Junior,,"Developer, back-end;DevOps specialist","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Just me - I am a freelancer, sole proprietor, etc.",2025-07-02T12:48:18.604092
stackoverflow,FR,France,63984.0,EUR,2,Junior,Docker;npm;Yarn,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","5,000 to 9,999 employees",2025-07-02T12:48:18.604701
stackoverflow,FR,France,34548.0,EUR,10,Junior,,"Developer, desktop or enterprise applications;Developer, embedded applications or devices","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,2025-07-02T12:48:18.604856
stackoverflow,FR,France,57588.0,EUR,7,Mid-level,Ansible;Docker;npm,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;DevOps specialist;Developer, embedded applications or devices;Cloud infrastructure engineer;System administrator","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,2025-07-02T12:48:18.605012
stackoverflow,FR,France,,EUR,nan,Unknown,Homebrew;npm,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, mobile;Database administrator;Project manager;Designer",Some college/university study without earning a degree,,2025-07-02T12:48:18.605252
stackoverflow,FR,France,,EUR,nan,Unknown,npm,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,2025-07-02T12:48:18.605642
stackoverflow,FR,France,69318.0,EUR,5,Mid-level,Ansible,Data scientist or machine learning specialist,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,2025-07-02T12:48:18.605682
stackoverflow,FR,France,,EUR,nan,Unknown,Unreal Engine,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,2025-07-02T12:48:18.605918
stackoverflow,FR,France,,EUR,nan,Unknown,Homebrew;npm;Unity 3D,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,2025-07-02T12:48:18.606242
stackoverflow,FR,France,35726.0,EUR,4,Mid-level,Docker;npm,"Developer, full-stack;Other (please specify):","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,2025-07-02T12:48:18.606596
stackoverflow,FR,France,44790.0,EUR,5,Mid-level,Ansible;Docker,"Developer, back-end;Developer, desktop or enterprise applications","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I don’t know,2025-07-02T12:48:18.606637
stackoverflow,FR,France,40525.0,EUR,3,Junior,Docker,Data or business analyst;Blockchain,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",2025-07-02T12:48:18.606886
stackoverflow,FR,France,30393.0,EUR,2,Junior,,"Developer, front-end;Developer, back-end;Cloud infrastructure engineer;System administrator","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,2025-07-02T12:48:18.607226
stackoverflow,FR,France,,EUR,nan,Unknown,Docker,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,2025-07-02T12:48:18.607545
stackoverflow,FR,France,,EUR,nan,Unknown,Ansible;Docker;Kubernetes;npm,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,2025-07-02T12:48:18.607703
stackoverflow,FR,France,236749.0,EUR,11,Junior,Docker;Kubernetes;npm,"Developer, full-stack;Database administrator;Other (please specify):","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",2025-07-02T12:48:18.607743
stackoverflow,FR,France,85315.0,EUR,12,Junior,Kubernetes,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I don’t know,2025-07-02T12:48:18.608058
stackoverflow,FR,France,44790.0,EUR,2,Junior,npm,"Developer, full-stack;Developer, desktop or enterprise applications;Developer, QA or test;DevOps specialist","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,2025-07-02T12:48:18.608215
stackoverflow,FR,France,,EUR,nan,Unknown,Docker;npm;Unity 3D;Yarn,,"Associate degree (A.A., A.S., etc.)",,2025-07-02T12:48:18.608964
stackoverflow,FR,France,,EUR,12,Junior,Ansible;Docker;Kubernetes;Terraform,"Engineer, site reliability","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",2025-07-02T12:48:18.609042
stackoverflow,FR,France,39842.0,EUR,2,Junior,Docker;npm,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, mobile","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,2025-07-02T12:48:18.609434
stackoverflow,FR,France,120000.0,EUR,10,Junior,Homebrew,"Developer, back-end;Developer, QA or test;Educator;Project manager;Scientist","Other doctoral degree (Ph.D., Ed.D., etc.)",20 to 99 employees,2025-07-02T12:48:18.609472
stackoverflow,FR,France,38388.0,EUR,24,Junior,,"Developer, desktop or enterprise applications","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Just me - I am a freelancer, sole proprietor, etc.",2025-07-02T12:48:18.609511
stackoverflow,FR,France,29436.0,EUR,5,Mid-level,Docker,"Developer, front-end;Developer, full-stack;Developer, back-end;Data or business analyst","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,2025-07-02T12:48:18.610059
stackoverflow,FR,France,53322.0,EUR,13,Junior,Ansible;Docker;Kubernetes;Terraform,"Engineer, site reliability;Developer, back-end;Engineering manager;DevOps specialist;Project manager;Cloud infrastructure engineer;System administrator;Security professional","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10 to 19 employees,2025-07-02T12:48:18.610098
stackoverflow,FR,France,45857.0,EUR,3,Junior,Docker;Kubernetes;npm,Data scientist or machine learning specialist,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,2025-07-02T12:48:18.610251
stackoverflow,FR,France,,EUR,nan,Unknown,,Student,Some college/university study without earning a degree,,2025-07-02T12:48:18.610362
stackoverflow,FR,France,44790.0,EUR,1,Junior,,Data scientist or machine learning specialist,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,2025-07-02T12:48:18.610518
stackoverflow,FR,France,61853.0,EUR,5,Mid-level,,"Developer, front-end;Developer, mobile","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,2025-07-02T12:48:18.611365
stackoverflow,FR,France,53322.0,EUR,4,Mid-level,Docker;Kubernetes;npm;Terraform,"Developer, full-stack;Developer, mobile","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,2025-07-02T12:48:18.611442
stackoverflow,FR,France,55455.0,EUR,7,Mid-level,Ansible;Docker;Kubernetes;Terraform;Yarn,"Developer, back-end;DevOps specialist","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",2025-07-02T12:48:18.611481
stackoverflow,FR,France,537480.0,EUR,4,Mid-level,Docker;npm;Yarn,"Developer, front-end;Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,2025-07-02T12:48:18.611558
stackoverflow,FR,France,53322.0,EUR,2,Junior,Docker;Kubernetes;npm;Yarn,"Developer, full-stack;Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,2025-07-02T12:48:18.611912
stackoverflow,FR,France,,EUR,nan,Unknown,Docker;npm;Yarn,Other (please specify):,Some college/university study without earning a degree,,2025-07-02T12:48:18.612895
stackoverflow,FR,France,54388.0,EUR,6,Mid-level,Docker;npm,"Developer, front-end;Developer, full-stack;Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,2025-07-02T12:48:18.613041
stackoverflow,FR,France,68252.0,EUR,13,Junior,npm,"Developer, full-stack;Educator;DevOps specialist","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,2025-07-02T12:48:18.613086
stackoverflow,FR,France,,EUR,nan,Unknown,Docker;Kubernetes;Unity 3D,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,2025-07-02T12:48:18.613183
stackoverflow,FR,France,51192.0,EUR,15,Junior,Docker;Flow;Homebrew;npm;Yarn,"Developer, front-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,2025-07-02T12:48:18.613556
stackoverflow,FR,France,38.0,EUR,2,Junior,Docker;npm,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,2025-07-02T12:48:18.613948
stackoverflow,FR,France,,EUR,22,Junior,Ansible;Kubernetes;npm,"Developer, front-end;Developer, full-stack;Developer, back-end;Engineering manager;Other (please specify):","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",2025-07-02T12:48:18.614071
stackoverflow,FR,France,79983.0,EUR,10,Junior,Docker,"Developer, back-end;System administrator","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",2025-07-02T12:48:18.614384
stackoverflow,FR,France,,EUR,5,Mid-level,,"Developer, front-end;Designer","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2 to 9 employees,2025-07-02T12:48:18.615520
stackoverflow,FR,France,76783.0,EUR,10,Junior,Docker;Kubernetes,"Developer, back-end;Engineering manager","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,2025-07-02T12:48:18.616390
stackoverflow,FR,France,85315.0,EUR,14,Junior,Docker;Kubernetes;npm;Terraform;Yarn,"Developer, back-end;Engineering manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,2025-07-02T12:48:18.616550
stackoverflow,FR,France,,EUR,nan,Unknown,Homebrew,"Student;Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,2025-07-02T12:48:18.617205
stackoverflow,FR,France,,EUR,nan,Unknown,npm,"Developer, full-stack;Student","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,2025-07-02T12:48:18.617324
stackoverflow,FR,France,,EUR,nan,Unknown,Docker;Kubernetes,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,2025-07-02T12:48:18.617485
stackoverflow,FR,France,43724.0,EUR,5,Mid-level,Docker;npm;Yarn,"Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,2025-07-02T12:48:18.618083
